Quick Sell Value,Name,Position(s),Rating,Nation,Club,League,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age,Height,Weight,Foot,Attack WR,Defend WR,Weak Foot,Skill Moves,Real Face,Card,Date Of Birth,Acceleration,Sprint Speed,Att. Position,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,FK Acc.,Short Pass,Long Pass,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Acc.,Def. Aware,Stand Tackle,Slide Tackle,Jumping,Stamina,Strength,Aggression,CM Release Clause,CM Wage,CM Value,CM Role
,Pele,CAM,98,Brazil,Icons,Icons,95,96,93,96,60,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diego Maradona,CAM,97,Argentina,Icons,Icons,92,93,92,97,40,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zinedine Zidane,CAM,96,France,Icons,Icons,85,92,96,95,75,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronaldo,ST,96,Brazil,Icons,Icons,97,95,81,95,45,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pele,CF,95,Brazil,Icons,Icons,96,93,90,95,56,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diego Maradona,CAM / CF,95,Argentina,Icons,Icons,88,91,90,95,42,75,58,"5'5""",,Left,High,Medium,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lionel Messi,RW,94,Argentina,FC Barcelona,La Liga Santander,87,92,92,96,39,66,,,,Left,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zinedine Zidane,CAM / LM / CM,94,France,Icons,Icons,82,90,93,92,72,83,47,"185 cm 6'1""",,Right,Medium,Medium,5,5,Yes,Icon,23.6.1972,83,81,92,89,88,91,93,89,95,90,91,95,93,89,75,83,95,96,94,91,80,86,62,75,64,72,81,89,72,,,,
,Garrincha,RW,94,Brazil,Icons,Icons,90,87,94,96,41,68,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lev Yashin,GK,94,Russia,Icons,Icons,95,89,75,96,65,95,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paulo Maldini,CB,94,Italy,Icons,Icons,86,56,75,69,96,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronaldo,ST,94,Brazil,Icons,Icons,93,93,80,93,46,80,42,"6'0"" ",,Right,Medium,Low,5,5,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johann Cruyff,CF,94,Netherlands,Icons,Icons,91,92,91,94,42,73,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronaldinho,LW,94,Brazil,Icons,Icons,92,90,91,95,37,91,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roberto Baggio,CAM,93,Italy,Icons,Icons,86,84,92,92,40,61,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlos Alberto Torres,RB,93,Brazil,Icons,Icons,90,66,81,86,90,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Cristiano Ronaldo,ST,93,Portugal,Piemonte Calcio,Serie A,90,93,82,89,35,78,,,,,,,4,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Franco Baresi,CB,93,Italy,Icons,Icons,70,49,76,72,95,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruud Gullit,CF,93,Netherlands,Icons,Icons,86,91,91,89,82,90,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lothar Matthaus,CM,93,Germany,Icons,Icons,89,89,90,82,90,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,George Best,RW,93,Northern Ireland,Icons,Icons,93,91,84,94,58,71,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eusebio,CF,93,Portugal,Icons,Icons,94,94,86,93,45,79,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thierry Henry,ST,93,France,Icons,Icons,94,91,83,90,53,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marco Van Basten ,ST,93,Netherlands,Icons,Icons,83,94,76,89,39,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dennis Bergkamp,CF,92,Netherlands,Icons,Icons,84,91,86,90,37,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rivaldo,LW,92,Brazil,Icons,Icons,87,91,88,92,44,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69,000",Paulo Maldini,CB,92,Italy,Icons,Icons,82,56,74,68,95,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neymar Jr,LW,92,Brazil,Paris,Ligue 1,91,85,87,95,32,58,,,,,,,5,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Garrincha,RW,92,Brazil,Icons,Icons,90,86,92,94,41,67,,169 cm,,Right,Medium,Low,4,5,,Icon,28.10.1933,91,90,89,87,84,85,83,83,94,93,88,93,91,89,88,88,91,94,96,91,49,66,36,36,32,65,83,64,56,,,,
,Kenny Dalglish,ST,92,Scotland,Icons,Icons,90,92,77,90,41,73,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hugo Sanchez,ST,92,Mexico,Icons,Icons,92,93,81,90,44,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andrea Pirlo,CM,92,Italy,Icons,Icons,73,80,95,91,71,67,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peter Schmeichel,GK,92,Denmark,Icons,Icons,92,87,88,94,52,90,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fabio Cannavaro,CB,92,Italy,Icons,Icons,80,43,63,68,95,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bobby Moore,CB,92,England,Icons,Icons,68,64,83,78,93,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alessandro Nesta ,CB,92,Italy,Icons,Icons,72,42,65,67,94,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carles Puyol,CB,92,Spain,Icons,Icons,70,45,68,58,94,90,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javier Zanetti,RB,92,Argentina,Icons,Icons,86,63,88,85,90,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ryan Giggs,LM,92,Wales,Icons,Icons,90,80,90,91,44,67,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alessandro Del Piero,CF,92,Italy,Icons,Icons,83,92,89,92,43,67,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emilio Butragueno,ST,92,Spain,Icons,Icons,94,90,80,92,41,68,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raul,CF,92,Spain,Icons,Icons,88,92,82,90,47,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
