Año;tipo_eleccion;region_id;territorio;pacto;subpacto;partido;partido_asociado;candidato;sexo;edad;estado_servel;estado_candidatura
2013;PRESIDENCIAL;;NACIONAL;;;PARTIDO ECOLOGISTA VERDE;;SFEIR YOUNIS ALFREDO;HOMBRE;66;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;PARTIDO SOCIALISTA DE CHILE;;BACHELET JERIA MICHELLE;MUJER;62;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;PARTIDO REGIONALISTA DE LOS INDEPENDIENTES;;ISRAEL ZIPPER RICARDO;HOMBRE;63;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;INDEPENDIENTE;;PARISI FERNANDEZ FRANCO ALDO;HOMBRE;46;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;INDEPENDIENTE;;JOCELYN-HOLT LETELIER TOMAS;HOMBRE;50;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;UNION DEMOCRATA INDEPENDIENTE;;MATTHEI FORNET EVELYN;MUJER;60;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;PARTIDO HUMANISTA;;CLAUDE REYES MARCEL;HOMBRE;56;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;PARTIDO IGUALDAD;;MIRANDA MENESES ROXANA;MUJER;46;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;PRESIDENCIAL;;NACIONAL;;;PARTIDO PROGRESISTA;;ENRIQUEZ-OMINAMI GUMUCIO MARCO;HOMBRE;40;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;2;Circunscripción Senatorial 2;ALIANZA;;UNION DEMOCRATA INDEPENDIENTE;;ROJAS MOLINA MANUEL ERNESTO;HOMBRE;54;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;2;Circunscripción Senatorial 2;CANDIDATURA INDEPENDIENTE;;INDEPENDIENTE;;CANTERO OJEDA CARLOS;HOMBRE;57;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;2;Circunscripción Senatorial 2;CANDIDATURA INDEPENDIENTE;;INDEPENDIENTE;;GUEVARA CORTES DANIEL;HOMBRE;41;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;2;Circunscripción Senatorial 2;NUEVA CONSTITUCION PARA CHILE;;INDEPENDIENTE;;ORREGO HENRIQUEZ JIMENA ESTRELLA;MUJER;46;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;2;Circunscripción Senatorial 2;NUEVA MAYORIA;;INDEPENDIENTE;;ARAYA GUERRERO PEDRO;HOMBRE;39;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;2;Circunscripción Senatorial 2;NUEVA MAYORIA;;INDEPENDIENTE;;GUILLIER ALVAREZ ALEJANDRO;HOMBRE;60;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;2;Circunscripción Senatorial 2;PARTIDO HUMANISTA;;PARTIDO HUMANISTA;;CONTRERAS BRAÑA GISELA;MUJER;37;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;4;Circunscripción Senatorial 4;ALIANZA;;RENOVACION NACIONAL;;BERTOLINO RENDIC MARIO;HOMBRE;59;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;4;Circunscripción Senatorial 4;ALIANZA;;UNION DEMOCRATA INDEPENDIENTE;;URIARTE HERRERA GONZALO;HOMBRE;48;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;4;Circunscripción Senatorial 4;NUEVA MAYORIA;;PARTIDO DEMOCRATA CRISTIANO;;PIZARRO SOTO JORGE;HOMBRE;61;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
2013;SENADORES;4;Circunscripción Senatorial 4;NUEVA MAYORIA;;PARTIDO POR LA DEMOCRACIA;;MUÑOZ D'ALBORA ADRIANA;MUJER;65;ACEPTADA POR EL SERVEL;INSCRITO EN EL REGISTRO ESPECIAL
